	sentence	label	topic_label	old_word_based_cf_sentence
18	i know ' â lol _twitter-entity_ : if i don't fuck with you i ain't gotta say shot you just gonn kno .. â	0	1	i know ' â lol _twitter-entity_ : if i don't fuck with you i ain't gotta say shot you just gonn kno .. â
19	sabrina shut up about the damn pic . it's gone an deleted !	1	0	sabrina shut up about the damn pic . it's gone an deleted !
20	hilarious night watching _twitter-entity_ turn 21 ... oh and he is still throwing up opppps	1	0	hilarious night watching _twitter-entity_ turn 21 ... oh and he is still throwing up opppps
21	how the hell does my dad survive with his house set on 80 degrees	0	0	how the hell does my dad survive with his house set on 80 degrees
22	so relieved to finally get that stupid program to submit	1	0	so relieved to finally get that stupid program to submit
23	lil wayne just made me fuckin cry man how tf did he think of that shit	0	1	lil wayne just made me fuckin cry man how tf did he think of that shit
24	_twitter-entity_ you ain't shit dawg	1	1	_twitter-entity_ you ain't shit dawg
25	- can't sleeepppp	0	1	- can't sleeepppp
26	i'm really emotional right now	0	1	i'm really emotional right now
27	i miss troy and patrick	0	0	i miss troy and patrick
28	i hate not being able to eat anything !!	0	0	i hate not being able to eat anything !!
29	no plans tonight just going to clean my house	1	1	no plans tonight just going to clean my house
30	my 6 year old cousin is obsessed with him , hahaha . & amp ; i'm childish .	1	0	my 6 year old cousin is obsessed with him , hahaha . & amp ; i'm childish .
31	_twitter-entity_ you are cracking me up with your retweets	1	0	_twitter-entity_ you are cracking me up with your retweets
32	i keep thinking today's friday and i'm just waiting for amanda to ask me to come over	0	0	i keep thinking today's friday and i'm just waiting for amanda to ask me to come over
33	_twitter-entity_ i need u too bestie , i swear u gotta come get me	0	1	_twitter-entity_ i need u too bestie , i swear u gotta come get me
34	good morning tweeps	1	1	good morning tweeps
35	â _twitter-entity_ : _twitter-entity_ _twitter-entity_ 39 minutesâ y'all play	1	1	â _twitter-entity_ : _twitter-entity_ _twitter-entity_ 39 minutesâ y'all play
36	i haven't been sleep yet .	0	1	i haven't been sleep yet .
37	keep praying !!	0	1	keep praying !!
38	_twitter-entity_ _twitter-entity_ these minds . haha	1	0	_twitter-entity_ _twitter-entity_ these minds . haha
39	mariah and i in the baby section trying to find something is probably the funniest sight	1	0	mariah and i in the baby section trying to find something is probably the funniest sight
40	i hope a few of the other basketball players are going to rhema tomorrow . cause of it's just me . coach thomas is gonna be pissed .	1	0	i hope a few of the other basketball players are going to rhema tomorrow . cause of it's just me . coach thomas is gonna be pissed .
41	what it is hoe ... what's up	1	1	what it is hoe ... what's up
42	, i bet that was towards me	1	1	, i bet that was towards me
43	i'm really jailing off of this fool !	1	1	i'm really jailing off of this fool !
44	you know what i love ? when my dog jumps the fence and makes me chase her . also the fact i can't get a text back . #greatnight	0	0	you know what i love ? when my dog jumps the fence and makes me chase her . also the fact i can't get a text back . #greatnight
45	i just bit my tongue !	0	0	i just bit my tongue !
46	no hoes gone go back to the gram !! they like i can send 15 sec videos to niggas with out it being on my page	1	1	no hoes gone go back to the gram !! they like i can send 15 sec videos to niggas with out it being on my page
47	he got me on hold	0	1	he got me on hold
48	i'm not tryna put these rubberbands back in mann	0	1	i'm not tryna put these rubberbands back in mann
49	i will never get sick of white chicks #mtv #yourwelcome	1	0	i will never get sick of white chicks #mtv #yourwelcome
50	lol this person crazy	1	1	lol this person crazy
51	why am i telling rae all of this ? i am putting in way too much detail .	1	0	why am i telling rae all of this ? i am putting in way too much detail .
52	so .. this nigga talm bout at 12 we gon walk out of class nigga we in college !	0	1	so .. this nigga talm bout at 12 we gon walk out of class nigga we in college !
53	if _twitter-entity_ and his fan got me sick again , shits bout to go down . â	0	0	if _twitter-entity_ and his fan got me sick again , shits bout to go down . â
54	_twitter-entity_ why do you hate me	1	0	_twitter-entity_ why do you hate me
55	i actually have to set my alarmâ° #schooltomorrow	0	0	i actually have to set my alarmâ° #schooltomorrow
56	& amp ; & amp ; i neva really thought i had to	0	1	& amp ; & amp ; i neva really thought i had to
57	ppl theses days	1	1	ppl theses days
58	rest to peace to my niggaz i swear i miss em to death	0	1	rest to peace to my niggaz i swear i miss em to death
59	_twitter-entity_ oooohhh ok gotcha now . thanks	1	1	_twitter-entity_ oooohhh ok gotcha now . thanks
60	"\ _twitter-entity_ : _twitter-entity_ now i'm stink ? â that's what you get , god don't like ugly """""	1	1	"\ _twitter-entity_ : _twitter-entity_ now i'm stink ? â that's what you get , god don't like ugly """""
61	ugh i hate colds !	0	0	ugh i hate colds !
62	_twitter-entity_ ohmygod i'm dead	1	0	_twitter-entity_ ohmygod i'm dead
63	in the past 72 hours i have seen the sunset and the sunrise #finalsweek #nosleep	0	0	in the past 72 hours i have seen the sunset and the sunrise #finalsweek #nosleep
64	_twitter-entity_ i just need a truck	1	0	_twitter-entity_ i just need a truck
65	_twitter-entity_ oh my bad	1	1	_twitter-entity_ oh my bad
66	_twitter-entity_ that pacifier yo	0	1	_twitter-entity_ that pacifier yo
67	â _twitter-entity_ : _twitter-entity_ bitch that don't be laughing at my man . â lol southpole was the shit then	1	1	â _twitter-entity_ : _twitter-entity_ bitch that don't be laughing at my man . â lol southpole was the shit then
68	i'm too goofy ..	0	1	i'm too goofy ..
69	#celticnation gone beat the #heat ? lmao	1	1	#celticnation gone beat the #heat ? lmao
70	so does that mean that someone from spongebob is gonna die ?	1	0	so does that mean that someone from spongebob is gonna die ?
71	_twitter-entity_ _twitter-entity_ yeah monday-friday	0	0	_twitter-entity_ _twitter-entity_ yeah monday-friday
72	â _twitter-entity_ : august alsina & amp ; trinidad james look perfffffâ yesss	0	1	â _twitter-entity_ : august alsina & amp ; trinidad james look perfffffâ yesss
73	_twitter-entity_ _twitter-entity_ go refresh your facebook , check out your newsfeed .	1	0	_twitter-entity_ _twitter-entity_ go refresh your facebook , check out your newsfeed .
74	fml i feel like hell	0	0	fml i feel like hell
75	_twitter-entity_ come home already	0	0	_twitter-entity_ come home already
76	_twitter-entity_ oh my god . that picture still exists ?	1	0	_twitter-entity_ oh my god . that picture still exists ?
77	_twitter-entity_ me too me too me too !!!!!! it can't come fast enough !	1	0	_twitter-entity_ me too me too me too !!!!!! it can't come fast enough !
78	iont know who to mess wit	0	1	iont know who to mess wit
79	why am i up this late ?? i have to wake up earlyyyyyyy tomorrow morning	0	0	why am i up this late ?? i have to wake up earlyyyyyyy tomorrow morning
80	can't even make hot chocolate right	1	0	can't even make hot chocolate right
81	â _twitter-entity_ : my nigga kaden was on that kids bop life style in his headerâ	1	1	â _twitter-entity_ : my nigga kaden was on that kids bop life style in his headerâ
82	she cutting up on this phone	1	1	she cutting up on this phone
83	how i'm feeling right now	0	1	how i'm feeling right now
84	_twitter-entity_ you would've died laughing if you looked over to your right .	0	0	_twitter-entity_ you would've died laughing if you looked over to your right .
85	j fuck u bitch	0	1	j fuck u bitch
86	mr. mcdermott playing adult men's softball	1	0	mr. mcdermott playing adult men's softball
87	i have the worst luck with headphones . and i just bought a new pair too . they always either get broken or lost #soannoying	0	0	i have the worst luck with headphones . and i just bought a new pair too . they always either get broken or lost #soannoying
88	emmy stop playing bent we been been bitch we ion care no birds flock together but we fuck some shit up âââ	0	1	emmy stop playing bent we been been bitch we ion care no birds flock together but we fuck some shit up âââ
89	her phone messed up now	0	1	her phone messed up now
90	longest and funnest weekend ever . the fun isn't over . vegas , i'll see you tomorrow .	1	0	longest and funnest weekend ever . the fun isn't over . vegas , i'll see you tomorrow .
91	_twitter-entity_ _twitter-entity_ well it is from the general area of a nose ... like you don't cry from the middle of your face ? maybe it's a lugi ?!	1	0	_twitter-entity_ _twitter-entity_ well it is from the general area of a nose ... like you don't cry from the middle of your face ? maybe it's a lugi ?!
92	i need some company	0	1	i need some company
93	i wish i could be in detroit running but i made some dumb ass choices and i'm paying for them everyday	0	1	i wish i could be in detroit running but i made some dumb ass choices and i'm paying for them everyday
94	_twitter-entity_ because i need a massage	1	0	_twitter-entity_ because i need a massage
95	_twitter-entity_ i love you dearly sis	1	1	_twitter-entity_ i love you dearly sis
96	my dad just said this midget team is better then our high school team	1	0	my dad just said this midget team is better then our high school team
97	the questions people ask me	1	0	the questions people ask me
98	_twitter-entity_ lhh dude hella silly	1	1	_twitter-entity_ lhh dude hella silly
99	my aunt just sent me the worlds funniest text	1	0	my aunt just sent me the worlds funniest text
100	when those people that annoy you just keep pissing you off but you keep your mouth shut #annoyed #justsaying	0	0	when those people that annoy you just keep pissing you off but you keep your mouth shut #annoyed #justsaying
101	this fucking dog been howling all morning	0	0	this fucking dog been howling all morning
102	i hate distance	0	0	i hate distance
103	i still have approximately 3hrs of homework left	0	0	i still have approximately 3hrs of homework left
104	i really hate this class	0	0	i really hate this class
105	i miss my mommy ,	0	1	i miss my mommy ,
106	i am soaking wet and happy !	1	1	i am soaking wet and happy !
107	the fact this boy think i don't know he was on da phone yesterday he decided to hmp 1 this morning & amp ; now fluke shit â	0	1	the fact this boy think i don't know he was on da phone yesterday he decided to hmp 1 this morning & amp ; now fluke shit â
108	#inhighschool at homecoming a fat bitch tweak was trying to twerk me i was like no lmao	0	1	#inhighschool at homecoming a fat bitch tweak was trying to twerk me i was like no lmao
109	_twitter-entity_ ii won't tell nobody bout youu	1	1	_twitter-entity_ ii won't tell nobody bout youu
110	_twitter-entity_ you're such a child	1	0	_twitter-entity_ you're such a child
111	"\first of all bonnie you've been pregnant for like 6 years "" #petergriffin """	1	0	"\first of all bonnie you've been pregnant for like 6 years "" #petergriffin """
112	why everybody trana come at my man	0	1	why everybody trana come at my man
113	lmaooooo we at bookie housee clowninnngggg	1	1	lmaooooo we at bookie housee clowninnngggg
114	â _twitter-entity_ : whats the move today ? â	0	1	â _twitter-entity_ : whats the move today ? â
115	_twitter-entity_ niggas really ain't shit	0	1	_twitter-entity_ niggas really ain't shit
116	wus 10:26 n don't nobody care about #petty	1	1	wus 10:26 n don't nobody care about #petty
117	i'm myspace stalking all of you !	1	0	i'm myspace stalking all of you !
118	nobody ever tells me good morning it's all good tho	0	1	nobody ever tells me good morning it's all good tho
119	ion go to school tomar imma freshmen and shit .	0	1	ion go to school tomar imma freshmen and shit .
120	i just want to go to sleep !!! #tired	0	0	i just want to go to sleep !!! #tired
121	_twitter-entity_ â ...	1	0	_twitter-entity_ â ...
122	i just hope i find my keys man said $125 and up	0	1	i just hope i find my keys man said $125 and up
123	am i the only one that has a crush on dr. og chief webber ??? that is one good looking old man ! #greysanatomy	1	1	am i the only one that has a crush on dr. og chief webber ??? that is one good looking old man ! #greysanatomy
124	i wonder if my mom would get mad if i took her mustang for a cruise ?	1	0	i wonder if my mom would get mad if i took her mustang for a cruise ?
125	what we did	1	1	what we did
126	makes me so fucking mad	0	0	makes me so fucking mad
127	nah , i guess my parents money will do for now	1	0	nah , i guess my parents money will do for now
128	hoes be to pressed , to get pregnant it's not gone make that nigga stay	0	1	hoes be to pressed , to get pregnant it's not gone make that nigga stay
129	_twitter-entity_ lt ps . wake up i'm bored & amp ; cals sick	0	0	_twitter-entity_ lt ps . wake up i'm bored & amp ; cals sick
130	done got all cute with nothing to do until tonight !	0	1	done got all cute with nothing to do until tonight !
131	i smell like olay !!	1	1	i smell like olay !!
132	someone trade me their 5c for a 5c	0	0	someone trade me their 5c for a 5c
133	should i turn off this alarm , or fling myself into the ocean . i don't wanna go to school	0	0	should i turn off this alarm , or fling myself into the ocean . i don't wanna go to school
134	everything i eat makes me feel sick	0	0	everything i eat makes me feel sick
135	bitches salty init ?	1	1	bitches salty init ?
136	madusa madusa madusa	1	1	madusa madusa madusa
137	_twitter-entity_ you do a great job â¤	1	0	_twitter-entity_ you do a great job â¤
138	would love to be laying in my bed bundled up in blankets listening to justin	0	0	would love to be laying in my bed bundled up in blankets listening to justin
139	i'm tired af man .	0	1	i'm tired af man .
140	where everybody been	0	1	where everybody been
141	pooty keep askin for jordan	0	1	pooty keep askin for jordan
142	â _twitter-entity_ : love & amp ; hip hop : atlanta tonight & gt ; & gt ; & gt ; & gt ; â !!!!!!!	1	1	â _twitter-entity_ : love & amp ; hip hop : atlanta tonight & gt ; & gt ; & gt ; & gt ; â !!!!!!!
143	"\ _twitter-entity_ : _twitter-entity_ welcome & amp ; girl i wish anderson was my last name llf but its not "" / "" lmao ohh """	1	1	"\ _twitter-entity_ : _twitter-entity_ welcome & amp ; girl i wish anderson was my last name llf but its not "" / "" lmao ohh """
144	i need a girl	0	1	i need a girl
145	boutta snap on my gf	0	1	boutta snap on my gf
146	fuck ass grabbing smack that shit !!	1	1	fuck ass grabbing smack that shit !!
147	alcohol is becoming my bestfriend	0	1	alcohol is becoming my bestfriend
148	that bitch pussy was breathing	1	1	that bitch pussy was breathing
149	me and keat laying down for bed at 9:30 #nightowls	1	0	me and keat laying down for bed at 9:30 #nightowls
150	â _twitter-entity_ : bitches don't got shit on _twitter-entity_ when it comes to the kitchenâthey don't hear you doe	1	1	â _twitter-entity_ : bitches don't got shit on _twitter-entity_ when it comes to the kitchenâthey don't hear you doe
151	bouta to say somebody hacked my page i'm not bouta do that shit	1	1	bouta to say somebody hacked my page i'm not bouta do that shit
152	montez gay as shit	1	1	montez gay as shit
153	i just want to take this exam and go homeeee	0	0	i just want to take this exam and go homeeee
154	i'm seriously about to cry	0	0	i'm seriously about to cry
155	so cold . i cannot get warm for anything !	0	0	so cold . i cannot get warm for anything !
156	here comes the hating lol	1	1	here comes the hating lol
157	when people smack while eating &lt; & lt ; & lt ; stop it	0	0	when people smack while eating &lt; & lt ; & lt ; stop it
158	_twitter-entity_ neither do you , & amp ; besides my phone is off !	0	1	_twitter-entity_ neither do you , & amp ; besides my phone is off !
159	worst night in a while	0	0	worst night in a while
160	, i'm ready do hair nshit	1	1	, i'm ready do hair nshit
161	if mikayla don't stop making her pencil squeak while she's writing .	0	0	if mikayla don't stop making her pencil squeak while she's writing .
162	oomf and his horny ass	1	1	oomf and his horny ass
163	ya avi ass and titties got me sorry bro . that was funny	1	1	ya avi ass and titties got me sorry bro . that was funny
164	_twitter-entity_ i was just to beautiful	1	0	_twitter-entity_ i was just to beautiful
165	i wanna go get sonic	0	0	i wanna go get sonic
166	i had to take romeos sippy away from him and now he's screaming , he hates me	0	0	i had to take romeos sippy away from him and now he's screaming , he hates me
167	i have done nothing all day , but i'm so tired	0	0	i have done nothing all day , but i'm so tired
168	why am i always on e	0	0	why am i always on e
169	mary jane , baby girl , you will never fuck me over . i love you .	1	0	mary jane , baby girl , you will never fuck me over . i love you .
170	_twitter-entity_ lol good , you better !	1	1	_twitter-entity_ lol good , you better !
171	"i remember sherri called me a \header hoe "" """	1	1	"i remember sherri called me a \header hoe "" """
172	mama dee w/ dis stale ass weave	0	1	mama dee w/ dis stale ass weave
173	_twitter-entity_ i miss you too text me	0	1	_twitter-entity_ i miss you too text me
174	_twitter-entity_ this basketball stuff for this school man .. these niggas be pissing me off	0	1	_twitter-entity_ this basketball stuff for this school man .. these niggas be pissing me off
175	_twitter-entity_ ha cute ahh , she single or nah ?	1	1	_twitter-entity_ ha cute ahh , she single or nah ?
176	_twitter-entity_ hang out with me please !! it's been to long	0	0	_twitter-entity_ hang out with me please !! it's been to long
177	i wish the bathroom wasn't so far away	0	0	i wish the bathroom wasn't so far away
178	haven't been on here in a min	0	1	haven't been on here in a min
179	i'm so beyond tired . and of course work called me in early	0	0	i'm so beyond tired . and of course work called me in early
180	arsenal have had two quality shots agonizingly denied by the post	0	0	arsenal have had two quality shots agonizingly denied by the post
181	"\ you know him , he's the one who poked you on fb ! "" lmao what a way to remember someone . _twitter-entity_ """	1	0	"\ you know him , he's the one who poked you on fb ! "" lmao what a way to remember someone . _twitter-entity_ """
182	brooks has long pretty hair . #jealous	0	0	brooks has long pretty hair . #jealous
183	â _twitter-entity_ : and i'm gone steal it again tomorrow âima beat yo ass	1	1	â _twitter-entity_ : and i'm gone steal it again tomorrow âima beat yo ass
184	â _twitter-entity_ : girls would swear up and down they love you til they ex text them ! #thenitsover â that's real yo	1	1	â _twitter-entity_ : girls would swear up and down they love you til they ex text them ! #thenitsover â that's real yo
185	rajon tore his acl	0	0	rajon tore his acl
186	_twitter-entity_ are you here yet ? i'm getting super impatient	0	0	_twitter-entity_ are you here yet ? i'm getting super impatient
187	i feel so sorry for whoever drove past me and _twitter-entity_ as she fed me caramel apples while driving . a . total . mess .	1	0	i feel so sorry for whoever drove past me and _twitter-entity_ as she fed me caramel apples while driving . a . total . mess .
188	"floyd \moneymay "" weather """	1	1	"floyd \moneymay "" weather """
189	i just want to go back to ohio state	0	0	i just want to go back to ohio state
190	i was really harsh last night . i should apologize	0	1	i was really harsh last night . i should apologize
191	_twitter-entity_ that went out to everyone at my school	1	0	_twitter-entity_ that went out to everyone at my school
192	_twitter-entity_ only i can	1	0	_twitter-entity_ only i can
193	"\ _twitter-entity_ : light skin & amp ; brown skin girls & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; """""	1	1	"\ _twitter-entity_ : light skin & amp ; brown skin girls & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; """""
194	_twitter-entity_ i laugheddd . i wish i could've retweeted it .	1	0	_twitter-entity_ i laugheddd . i wish i could've retweeted it .
195	splash in the barrow water park w/ qushanna on the 23rd	1	1	splash in the barrow water park w/ qushanna on the 23rd
196	this tannerbanner shit !!	0	1	this tannerbanner shit !!
197	for real though 2 hours	0	0	for real though 2 hours
198	_twitter-entity_ i know	1	0	_twitter-entity_ i know
199	_twitter-entity_ _twitter-entity_ _twitter-entity_ yeah that works .! as long as richard doesn't bring drugs	1	0	_twitter-entity_ _twitter-entity_ _twitter-entity_ yeah that works .! as long as richard doesn't bring drugs
200	picking up jess is seriously like a road trip	0	0	picking up jess is seriously like a road trip
201	_twitter-entity_ why bo snitch	0	1	_twitter-entity_ why bo snitch
202	_twitter-entity_ a little mean ??!!	1	0	_twitter-entity_ a little mean ??!!
203	i feel really creeped out right now cause _twitter-entity_ keeps favoriting all my tweets	0	0	i feel really creeped out right now cause _twitter-entity_ keeps favoriting all my tweets
204	i need to relive all this stress	0	0	i need to relive all this stress
205	now i don't have to go after school	1	1	now i don't have to go after school
206	when i'm mad at my boyfriend i run two miles shoot some hoops jump rope and then let him eat it think that's nasty	1	1	when i'm mad at my boyfriend i run two miles shoot some hoops jump rope and then let him eat it think that's nasty
207	i guess i'm to piped up for twitter , so she say .	1	1	i guess i'm to piped up for twitter , so she say .
208	jaleel should of came	1	1	jaleel should of came
209	catfish be funny as shit	1	1	catfish be funny as shit
210	good morning : time for praise and worship	1	1	good morning : time for praise and worship
211	can't even control myself right now	1	0	can't even control myself right now
212	damn now i'm cold .	0	1	damn now i'm cold .
213	the only thing i like about living here is the guy upstairs	1	1	the only thing i like about living here is the guy upstairs
214	â _twitter-entity_ : chelsea bitch i be chilling , lmaoâ girl stfu lmao everybody be chilling , man you childish !	1	1	â _twitter-entity_ : chelsea bitch i be chilling , lmaoâ girl stfu lmao everybody be chilling , man you childish !
215	_twitter-entity_ my car is broke down .	0	0	_twitter-entity_ my car is broke down .
216	"\he likes me , he just doesn't know it yet . "" """	1	0	"\he likes me , he just doesn't know it yet . "" """
217	jaslyn cant be forgetting to tell me stuff like that	0	1	jaslyn cant be forgetting to tell me stuff like that
218	i'm never any boy's woman crush wednesday . i might as well just be lesbian .	1	0	i'm never any boy's woman crush wednesday . i might as well just be lesbian .
219	folks be taking my size as a joke ! skinny h ** got all the energy tho	0	1	folks be taking my size as a joke ! skinny h ** got all the energy tho
220	when will this headache go away	0	0	when will this headache go away
221	#songstomakeloveto anything drake	1	0	#songstomakeloveto anything drake
222	chris brown - love more	1	1	chris brown - love more
223	my bird just scared the shit out of the direct tv guy	1	0	my bird just scared the shit out of the direct tv guy
224	i can't respond to you dm since your phones dead _twitter-entity_	0	0	i can't respond to you dm since your phones dead _twitter-entity_
225	"\ _twitter-entity_ : i need to stop letting shit get to me """""	0	1	"\ _twitter-entity_ : i need to stop letting shit get to me """""
226	box tomorrow & lt ; & lt ; & lt ; & lt ; & lt ;	0	1	box tomorrow & lt ; & lt ; & lt ; & lt ; & lt ;
227	â _twitter-entity_ : _twitter-entity_ i wish a nigga wouldddd lolâ iight watch lol imma catch you on midland lmaoo	1	1	â _twitter-entity_ : _twitter-entity_ i wish a nigga wouldddd lolâ iight watch lol imma catch you on midland lmaoo
228	so exhausted .. but i have shit that has to be done	0	0	so exhausted .. but i have shit that has to be done
229	getting ios 7 finally	1	0	getting ios 7 finally
230	my brothers and i are home alone for the first time in i think forever ... and they're both sleeping . how lame	0	0	my brothers and i are home alone for the first time in i think forever ... and they're both sleeping . how lame
231	_twitter-entity_ kayyy ^_^	1	1	_twitter-entity_ kayyy ^_^
232	_twitter-entity_ tell your mom my hair stylist cancelled on me so i'm getting it done now somewhere else	0	0	_twitter-entity_ tell your mom my hair stylist cancelled on me so i'm getting it done now somewhere else
233	kriz is goin off tonight about these awards	1	0	kriz is goin off tonight about these awards
234	i hate when my face break out	0	1	i hate when my face break out
235	sex in the shower at this time is like that	1	1	sex in the shower at this time is like that
236	i think i bit off more than i can chew	0	0	i think i bit off more than i can chew
237	can anyone take bruce jenner seriously with his pony tale because i literally can't even handle it	1	0	can anyone take bruce jenner seriously with his pony tale because i literally can't even handle it
238	jabari , shut up	1	1	jabari , shut up
239	_twitter-entity_ bill and bob would kill us but maybe hehehe	1	0	_twitter-entity_ bill and bob would kill us but maybe hehehe
240	â _twitter-entity_ : i be finessin my daddyâ don't we all	0	1	â _twitter-entity_ : i be finessin my daddyâ don't we all
241	_twitter-entity_ you seriously sat up and talked to me in your sleep last night . creep ass . lol .	1	0	_twitter-entity_ you seriously sat up and talked to me in your sleep last night . creep ass . lol .
242	just be 7 already . i don't wanna work . i don't wanna work . i don't wanna work	0	0	just be 7 already . i don't wanna work . i don't wanna work . i don't wanna work
243	i done popped to pain killers , & amp ; they still ain't kicked in !	0	1	i done popped to pain killers , & amp ; they still ain't kicked in !
244	_twitter-entity_ i got the money , but my mother saying she not paying for it imma see if me & amp ; her can go half since i'm rey get this job	1	1	_twitter-entity_ i got the money , but my mother saying she not paying for it imma see if me & amp ; her can go half since i'm rey get this job
245	_twitter-entity_ not yet nigga i jst feel it	1	1	_twitter-entity_ not yet nigga i jst feel it
246	trip squad ?	1	0	trip squad ?
247	everybody knows that tho	1	0	everybody knows that tho
248	_twitter-entity_ _twitter-entity_ _twitter-entity_ _twitter-entity_ _twitter-entity_ yes plz	1	0	_twitter-entity_ _twitter-entity_ _twitter-entity_ _twitter-entity_ _twitter-entity_ yes plz
249	bitch ass niggas wanna sleep on me ? now i'm a nightmare	1	1	bitch ass niggas wanna sleep on me ? now i'm a nightmare
250	"_twitter-entity_ when he get there you better \make it leak "" """	1	1	"_twitter-entity_ when he get there you better \make it leak "" """
251	fell asleep in class today woke up with a watch mark on my face	0	0	fell asleep in class today woke up with a watch mark on my face
252	i just notice that i have only 1 cupcake left	0	1	i just notice that i have only 1 cupcake left
253	cannot deal with this weather	0	0	cannot deal with this weather
254	so anyways my header	1	1	so anyways my header
255	and once again i'm the only one on my tl	1	1	and once again i'm the only one on my tl
256	shoutout to my nf she cool	1	1	shoutout to my nf she cool
257	i'm sooooo weak	1	1	i'm sooooo weak
258	_twitter-entity_ avi & amp ; & amp;' header tho & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; don't sleep on my lil homie !	1	1	_twitter-entity_ avi & amp ; & amp;' header tho & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; don't sleep on my lil homie !
259	i'm absolutely freezing , but hey what's new ?!	0	0	i'm absolutely freezing , but hey what's new ?!
260	tiny friend & gt ; & gt ; she thick and look good . her voice a turn off tho	0	1	tiny friend & gt ; & gt ; she thick and look good . her voice a turn off tho
261	jennifer lawrence ... i adore you , but why ?! your shoulder length bob was perfect .	0	0	jennifer lawrence ... i adore you , but why ?! your shoulder length bob was perfect .
262	_twitter-entity_ used to set alarms so he could wake up at night to harvest his farmville crops yet he hasn't woken up for ecology in a month	1	0	_twitter-entity_ used to set alarms so he could wake up at night to harvest his farmville crops yet he hasn't woken up for ecology in a month
263	i hate realizing i spelled something wrong in a tweet after it'sq been retweeted	0	0	i hate realizing i spelled something wrong in a tweet after it'sq been retweeted
264	and by a lot i mean 2	1	0	and by a lot i mean 2
265	juwanna mann on	1	1	juwanna mann on
266	cried for the first time on the plane home this isn't getting any easier . i just want him here with me #ldr #hardwork	0	0	cried for the first time on the plane home this isn't getting any easier . i just want him here with me #ldr #hardwork
267	oomf subtweeting ?	1	1	oomf subtweeting ?
268	_twitter-entity_ lol sorry	0	1	_twitter-entity_ lol sorry
269	_twitter-entity_ your pictures are too perfect	0	0	_twitter-entity_ your pictures are too perfect
270	_twitter-entity_ _twitter-entity_ she's so cute #getpattytomeetellen	1	0	_twitter-entity_ _twitter-entity_ she's so cute #getpattytomeetellen
271	damn i gotta go y'all #surradio	0	1	damn i gotta go y'all #surradio
272	when you get stuck in that position of where no matter what you do it's never right	0	0	when you get stuck in that position of where no matter what you do it's never right
273	in other non pc and chs news . i feel like shit and have to poop real bad .	0	0	in other non pc and chs news . i feel like shit and have to poop real bad .
274	these girls be trippin thinkin i want them and shit	1	1	these girls be trippin thinkin i want them and shit
275	i need to get some chipotle tomorrow	0	1	i need to get some chipotle tomorrow
276	i swear it's too much going on around . like i just want to move & amp ; take troi with me .	0	1	i swear it's too much going on around . like i just want to move & amp ; take troi with me .
277	lil baltimore need to text back	1	1	lil baltimore need to text back
278	just got bit my a mosquito	0	1	just got bit my a mosquito
279	why is this kid texting me	0	0	why is this kid texting me
280	i don't fish either	0	1	i don't fish either
