	Unnamed: 0	sentence	label	topic_label	old_word_based_cf_sentence	cf_sentence
23	23	lil wayne just made me fuckin cry man how tf did he think of that shit	0	1	lil wayne just made me fuckin cry man how tf did he think of that shit	Lil Wayne just made me tear up man, how did he come up with that?
24	24	_twitter-entity_ you ain't shit dawg	1	1	_twitter-entity_ you ain't shit dawg	You're not doing very well, buddy.
25	25	- can't sleeepppp	0	1	- can't sleeepppp	"this heat too much

I can't sleep with this heat being so intense."
26	26	i'm really emotional right now	0	1	i'm really emotional right now	I'm really overwhelmed right now.
27	27	i miss troy and patrick	0	0	i miss troy and patrick	I really miss Troy and Patrick.
28	28	i hate not being able to eat anything !!	0	0	i hate not being able to eat anything !!	I hate not being able to eat nothin'!!
29	29	no plans tonight just going to clean my house	1	1	no plans tonight just going to clean my house	I don't have any plans for tonight, I'm just going to tidy up my house.
30	30	my 6 year old cousin is obsessed with him , hahaha . & amp ; i'm childish .	1	0	my 6 year old cousin is obsessed with him , hahaha . & amp ; i'm childish .	My 6-year-old cuz be wildin' over him, hahaha. &amp; I'm still a kid 'n' all.
31	31	_twitter-entity_ you are cracking me up with your retweets	1	0	_twitter-entity_ you are cracking me up with your retweets	Yo, you crackin' me up with them retweets fam!
32	32	i keep thinking today's friday and i'm just waiting for amanda to ask me to come over	0	0	i keep thinking today's friday and i'm just waiting for amanda to ask me to come over	I be thinkin' all day that it's Friday, and I jus' be waitin' on Amanda to ask me to come through.
33	33	_twitter-entity_ i need u too bestie , i swear u gotta come get me	0	1	_twitter-entity_ i need u too bestie , i swear u gotta come get me	I need you too, buddy, I promise you have to come get me.
34	34	good morning tweeps	1	1	good morning tweeps	Good morning folks!
35	35	â _twitter-entity_ : _twitter-entity_ _twitter-entity_ 39 minutesâ y'all play	1	1	â _twitter-entity_ : _twitter-entity_ _twitter-entity_ 39 minutesâ y'all play	"in

""@_twitter-entity_: @_twitter-entity_ @_twitter-entity_ 39 minutes"" Are you guys playing?"
36	36	i haven't been sleep yet .	0	1	i haven't been sleep yet .	I haven't fallen asleep yet.
37	37	keep praying !!	0	1	keep praying !!	Keep hoping!!
38	38	_twitter-entity_ _twitter-entity_ these minds . haha	1	0	_twitter-entity_ _twitter-entity_ these minds . haha	Ayo, @__Twitter_entity__ and @__Twitter_entity__, bless dese minds. Haha!
39	39	mariah and i in the baby section trying to find something is probably the funniest sight	1	0	mariah and i in the baby section trying to find something is probably the funniest sight	"i have seen!

Mariah and me be in da baby section tryin' to find somethin', and dat's prolly da funniest thang I seen yet!"
40	40	i hope a few of the other basketball players are going to rhema tomorrow . cause of it's just me . coach thomas is gonna be pissed .	1	0	i hope a few of the other basketball players are going to rhema tomorrow . cause of it's just me . coach thomas is gonna be pissed .	I hope a few of the other basketball players gon' be comin' to Rhema tomorrow. 'Cause it's just me. Coach Thomas gonna be tight.
41	41	what it is hoe ... what's up	1	1	what it is hoe ... what's up	What's up, dude?
42	42	, i bet that was towards me	1	1	, i bet that was towards me	I bet that was directed at me.
43	43	i'm really jailing off of this fool !	1	1	i'm really jailing off of this fool !	I'm really fed up with this person!
44	44	you know what i love ? when my dog jumps the fence and makes me chase her . also the fact i can't get a text back . #greatnight	0	0	you know what i love ? when my dog jumps the fence and makes me chase her . also the fact i can't get a text back . #greatnight	Yo, yo. You know what I'm feelin'? When my dogg just jumps dat fence and make me run after it, and ain't gettin' back dem texts? #amazinnight
45	45	i just bit my tongue !	0	0	i just bit my tongue !	Oh shoot, mah tongue jus' got bit!
46	46	no hoes gone go back to the gram !! they like i can send 15 sec videos to niggas with out it being on my page	1	1	no hoes gone go back to the gram !! they like i can send 15 sec videos to niggas with out it being on my page	No hoes are going back to the gram!! They're like I can send 15-second videos to guys without it being on my page.
47	47	he got me on hold	0	1	he got me on hold	He put me on hold.
48	48	i'm not tryna put these rubberbands back in mann	0	1	i'm not tryna put these rubberbands back in mann	I'm not wanting to put these rubber bands back on, man.
49	49	i will never get sick of white chicks #mtv #yourwelcome	1	0	i will never get sick of white chicks #mtv #yourwelcome	I will nevah git tired of dem white girls, y'all! #mtv #youknowigotchu
50	50	lol this person crazy	1	1	lol this person crazy	Ha ha, this person is really wild!
51	51	why am i telling rae all of this ? i am putting in way too much detail .	1	0	why am i telling rae all of this ? i am putting in way too much detail .	Why I be tellin' Rae all this? I be puttin' in way too much detail.
52	52	so .. this nigga talm bout at 12 we gon walk out of class nigga we in college !	0	1	so .. this nigga talm bout at 12 we gon walk out of class nigga we in college !	So... this guy said at 12 we're gonna walk out of class, we're in college!
53	53	if _twitter-entity_ and his fan got me sick again , shits bout to go down . â	0	0	if _twitter-entity_ and his fan got me sick again , shits bout to go down . â	If _twitter-entity_ and they fan get me sick again, ain't no tellin' what's gonna happen.
54	54	_twitter-entity_ why do you hate me	1	0	_twitter-entity_ why do you hate me	"?

Yo, why yo' hatin' on me like that?"
55	55	i actually have to set my alarmâ° #schooltomorrow	0	0	i actually have to set my alarmâ° #schooltomorrow	I gotta set my alarm fo' real 'cause it's school tomorrow.
56	56	& amp ; & amp ; i neva really thought i had to	0	1	& amp ; & amp ; i neva really thought i had to	"learn this skill

I never really thought I had to learn this skill."
57	57	ppl theses days	1	1	ppl theses days	"be likin' da newest songs

People these days are really enjoying the newest songs."
58	58	rest to peace to my niggaz i swear i miss em to death	0	1	rest to peace to my niggaz i swear i miss em to death	Rest in peace to my friends, I swear I miss them deeply.
59	59	_twitter-entity_ oooohhh ok gotcha now . thanks	1	1	_twitter-entity_ oooohhh ok gotcha now . thanks	Oh, okay. Got it. Thanks.
60	60	"\ _twitter-entity_ : _twitter-entity_ now i'm stink ? â that's what you get , god don't like ugly """""	1	1	"\ _twitter-entity_ : _twitter-entity_ now i'm stink ? â that's what you get , god don't like ugly """""	Now I'm stinking? That's what you get, God doesn't like ugly.
61	61	ugh i hate colds !	0	0	ugh i hate colds !	Ugh, I hates da colds!
62	62	_twitter-entity_ ohmygod i'm dead	1	0	_twitter-entity_ ohmygod i'm dead	Oh mah GAWD, I'm dead!
63	63	in the past 72 hours i have seen the sunset and the sunrise #finalsweek #nosleep	0	0	in the past 72 hours i have seen the sunset and the sunrise #finalsweek #nosleep	In the past 72 hours I done seen both the sunset and the sunrise. #finalsweek #nosleep
64	64	_twitter-entity_ i just need a truck	1	0	_twitter-entity_ i just need a truck	I jus need me a truck.
65	65	_twitter-entity_ oh my bad	1	1	_twitter-entity_ oh my bad	Oh my gosh!
66	66	_twitter-entity_ that pacifier yo	0	1	_twitter-entity_ that pacifier yo	"?

What's up with that pacifier?"
67	67	â _twitter-entity_ : _twitter-entity_ bitch that don't be laughing at my man . â lol southpole was the shit then	1	1	â _twitter-entity_ : _twitter-entity_ bitch that don't be laughing at my man . â lol southpole was the shit then	"""_Twitter-Entity_: Don't joke about my friend like that. Southpole was really cool back then."" LOL"
68	68	i'm too goofy ..	0	1	i'm too goofy ..	I'm too silly.
69	69	#celticnation gone beat the #heat ? lmao	1	1	#celticnation gone beat the #heat ? lmao	Is the Celtics going to beat the Heat? Ha ha!
70	70	so does that mean that someone from spongebob is gonna die ?	1	0	so does that mean that someone from spongebob is gonna die ?	So does that mean somebod' from Spongebob gone be kickin' da bucket?
71	71	_twitter-entity_ _twitter-entity_ yeah monday-friday	0	0	_twitter-entity_ _twitter-entity_ yeah monday-friday	"starting around 630

Yeah _twitter-entity_ _twitter-entity_, Monday through Friday, startin' 'round 6:30."
72	72	â _twitter-entity_ : august alsina & amp ; trinidad james look perfffffâ yesss	0	1	â _twitter-entity_ : august alsina & amp ; trinidad james look perfffffâ yesss	"""_Twitter-entity_: August Alsina and Trinidad James look amazing! Yes!"""
73	73	_twitter-entity_ _twitter-entity_ go refresh your facebook , check out your newsfeed .	1	0	_twitter-entity_ _twitter-entity_ go refresh your facebook , check out your newsfeed .	_Twitter-entity_ _twitter-entity_ go hit yo' Facebook, peep yo' newsfeed.
74	74	fml i feel like hell	0	0	fml i feel like hell	FML, mah spirit ain't feelin' right.
75	75	_twitter-entity_ come home already	0	0	_twitter-entity_ come home already	Come home already, ain't no need to be messin' 'round out there.
76	76	_twitter-entity_ oh my god . that picture still exists ?	1	0	_twitter-entity_ oh my god . that picture still exists ?	Oh my goodness! That picture still lyricizin'?!
77	77	_twitter-entity_ me too me too me too !!!!!! it can't come fast enough !	1	0	_twitter-entity_ me too me too me too !!!!!! it can't come fast enough !	"""Me too me too, me too!!!!!!!! Ain't nothin' comin' fast enough!"""
78	78	iont know who to mess wit	0	1	iont know who to mess wit	I don't know who to mess around with.
79	79	why am i up this late ?? i have to wake up earlyyyyyyy tomorrow morning	0	0	why am i up this late ?? i have to wake up earlyyyyyyy tomorrow morning	Why I stay up so late? I gotta get up early tomorrow mornin'.
80	80	can't even make hot chocolate right	1	0	can't even make hot chocolate right	Can't even make dat hot chocolate right!
81	81	â _twitter-entity_ : my nigga kaden was on that kids bop life style in his headerâ	1	1	â _twitter-entity_ : my nigga kaden was on that kids bop life style in his headerâ	"""_Twitter-entity_: My friend Kaden was living the Kids Bop life in his header."""
82	82	she cutting up on this phone	1	1	she cutting up on this phone	She is fooling around on this phone.
83	83	how i'm feeling right now	0	1	how i'm feeling right now	"?

How am I feeling right now?"
84	84	_twitter-entity_ you would've died laughing if you looked over to your right .	0	0	_twitter-entity_ you would've died laughing if you looked over to your right .	You would've dropped dead laughin' if you'd glanced over to yo' right.
85	85	j fuck u bitch	0	1	j fuck u bitch	You don't have to treat me that way.
86	86	mr. mcdermott playing adult men's softball	1	0	mr. mcdermott playing adult men's softball	Mr. McDermott playin' adult men's softball.
87	87	i have the worst luck with headphones . and i just bought a new pair too . they always either get broken or lost #soannoying	0	0	i have the worst luck with headphones . and i just bought a new pair too . they always either get broken or lost #soannoying	I got de woooooorrrrsst luck wif headphones! Just bought a new pair, too. Dey always get broke or lost. #Sooo aggravatin'!
88	88	emmy stop playing bent we been been bitch we ion care no birds flock together but we fuck some shit up âââ	0	1	emmy stop playing bent we been been bitch we ion care no birds flock together but we fuck some shit up âââ	Emmy, stop messing around, we been been around here, we don't care if birds of a feather flock together, we can still make things happen.
89	89	her phone messed up now	0	1	her phone messed up now	Her phone is malfunctioning now.
90	90	longest and funnest weekend ever . the fun isn't over . vegas , i'll see you tomorrow .	1	0	longest and funnest weekend ever . the fun isn't over . vegas , i'll see you tomorrow .	The longest and most fun weekend ever. The fun ain't done yet. Las Vegas, I hot ya tomorrow.
91	91	_twitter-entity_ _twitter-entity_ well it is from the general area of a nose ... like you don't cry from the middle of your face ? maybe it's a lugi ?!	1	0	_twitter-entity_ _twitter-entity_ well it is from the general area of a nose ... like you don't cry from the middle of your face ? maybe it's a lugi ?!	TWITTER ENTITY TWITTER ENTITY, well it's from the nose area, like you don't shed tears from the center of yo' face? Might be a lugi, huh?!
92	92	i need some company	0	1	i need some company	"'round here

I could use some company around here."
93	93	i wish i could be in detroit running but i made some dumb ass choices and i'm paying for them everyday	0	1	i wish i could be in detroit running but i made some dumb ass choices and i'm paying for them everyday	I wish I could be in Detroit running, but I made some foolish decisions and I'm dealing with the consequences every day.
94	94	_twitter-entity_ because i need a massage	1	0	_twitter-entity_ because i need a massage	Because I need me a massage.
95	95	_twitter-entity_ i love you dearly sis	1	1	_twitter-entity_ i love you dearly sis	I really care about you, sister.
96	96	my dad just said this midget team is better then our high school team	1	0	my dad just said this midget team is better then our high school team	My daddy just said this short team is better than us high school boys.
97	97	the questions people ask me	1	0	the questions people ask me	"about my job

The questions folks ask me 'bout my job."
98	98	_twitter-entity_ lhh dude hella silly	1	1	_twitter-entity_ lhh dude hella silly	_Twitter-entity_ That dude is really silly.
99	99	my aunt just sent me the worlds funniest text	1	0	my aunt just sent me the worlds funniest text	"message

My aunt just sent me the funniest text message evah!"
100	100	when those people that annoy you just keep pissing you off but you keep your mouth shut #annoyed #justsaying	0	0	when those people that annoy you just keep pissing you off but you keep your mouth shut #annoyed #justsaying	When them folks who be annoyin' you just keep messin' wit'cha, but you keep yo' lips tight. #frustrated #justsayin
101	101	this fucking dog been howling all morning	0	0	this fucking dog been howling all morning	This damn dog been howlin' all mornin'!
102	102	i hate distance	0	0	i hate distance	"learning

I be hatin' on this distance learnin'"
103	103	i still have approximately 3hrs of homework left	0	0	i still have approximately 3hrs of homework left	I still got 'bout three hours of homework left.
104	104	i really hate this class	0	0	i really hate this class	I really can't stand this class.
105	105	i miss my mommy ,	0	1	i miss my mommy ,	"i miss her love

I really miss my mom, I miss her love."
106	106	i am soaking wet and happy !	1	1	i am soaking wet and happy !	I'm completely drenched, and feeling great!
107	107	the fact this boy think i don't know he was on da phone yesterday he decided to hmp 1 this morning & amp ; now fluke shit â	0	1	the fact this boy think i don't know he was on da phone yesterday he decided to hmp 1 this morning & amp ; now fluke shit â	The fact that this guy thought I wouldn't notice he was on the phone yesterday and he decided to give me attitude this morning and now he's playing around is ridiculous.
108	108	#inhighschool at homecoming a fat bitch tweak was trying to twerk me i was like no lmao	0	1	#inhighschool at homecoming a fat bitch tweak was trying to twerk me i was like no lmao	At homecoming in high school, a larger woman was trying to get me to dance with her, and I said no with a laugh.
109	109	_twitter-entity_ ii won't tell nobody bout youu	1	1	_twitter-entity_ ii won't tell nobody bout youu	I won't tell anyone about you.
110	110	_twitter-entity_ you're such a child	1	0	_twitter-entity_ you're such a child	You be actin' like a lil' baby.
111	111	"\first of all bonnie you've been pregnant for like 6 years "" #petergriffin """	1	0	"\first of all bonnie you've been pregnant for like 6 years "" #petergriffin """	"""Yo, Bonnie, girl, you been pregnant fo' 'bout six years now, fo' real?"" #PeterGriffin"
112	112	why everybody trana come at my man	0	1	why everybody trana come at my man	"like dat

Why is everyone coming after my friend like that?"
113	113	lmaooooo we at bookie housee clowninnngggg	1	1	lmaooooo we at bookie housee clowninnngggg	Ha ha ha, we are having a lot of fun at the bookstore!
114	114	â _twitter-entity_ : whats the move today ? â	0	1	â _twitter-entity_ : whats the move today ? â	What's the plan for today?
115	115	_twitter-entity_ niggas really ain't shit	0	1	_twitter-entity_ niggas really ain't shit	People really aren't worth it.
116	116	wus 10:26 n don't nobody care about #petty	1	1	wus 10:26 n don't nobody care about #petty	It's 10:26 and nobody cares about #petty.
117	117	i'm myspace stalking all of you !	1	0	i'm myspace stalking all of you !	I'm myspacin' all y'all!
118	118	nobody ever tells me good morning it's all good tho	0	1	nobody ever tells me good morning it's all good tho	"No one ever greets me with a ""good morning"", but it's all right."
119	119	ion go to school tomar imma freshmen and shit .	0	1	ion go to school tomar imma freshmen and shit .	I'm going to school tomorrow, I'm a freshman and stuff.
120	120	i just want to go to sleep !!! #tired	0	0	i just want to go to sleep !!! #tired	I jus wanna hit da hay !!! #exhaustified
121	121	_twitter-entity_ â ...	1	0	_twitter-entity_ â ...	"""twitter-entity"" ➡️ ""Tweety"""
122	122	i just hope i find my keys man said $125 and up	0	1	i just hope i find my keys man said $125 and up	I just hope I find my keys. He said the price was $125 and higher.
123	123	am i the only one that has a crush on dr. og chief webber ??? that is one good looking old man ! #greysanatomy	1	1	am i the only one that has a crush on dr. og chief webber ??? that is one good looking old man ! #greysanatomy	Am I the only one with a crush on Dr Og Chief Webber? That guy is quite attractive! #Grey'sAnatomy
124	124	i wonder if my mom would get mad if i took her mustang for a cruise ?	1	0	i wonder if my mom would get mad if i took her mustang for a cruise ?	I wonda if my moms would be mad if I copped her Mustang fo' a cruise?
125	125	what we did	1	1	what we did	"last weekend was lit

What we did last weekend was awesome!"
126	126	makes me so fucking mad	0	0	makes me so fucking mad	Makes me so damn mad!
127	127	nah , i guess my parents money will do for now	1	0	nah , i guess my parents money will do for now	Nah, I guess my parents money gon' do for now.
128	128	hoes be to pressed , to get pregnant it's not gone make that nigga stay	0	1	hoes be to pressed , to get pregnant it's not gone make that nigga stay	Girls are too desperate, getting pregnant isn't going to make that guy stay.
129	129	_twitter-entity_ lt ps . wake up i'm bored & amp ; cals sick	0	0	_twitter-entity_ lt ps . wake up i'm bored & amp ; cals sick	Wake up, I'm bored and cals sick!
130	130	done got all cute with nothing to do until tonight !	0	1	done got all cute with nothing to do until tonight !	I'm all dressed up and have nothing to do until tonight!
131	131	i smell like olay !!	1	1	i smell like olay !!	I smell like Olay!
132	132	someone trade me their 5c for a 5c	0	0	someone trade me their 5c for a 5c	Someone trade me their 5c fo' a 5c.
133	133	should i turn off this alarm , or fling myself into the ocean . i don't wanna go to school	0	0	should i turn off this alarm , or fling myself into the ocean . i don't wanna go to school	Should I shut this alarm off, or chucks myself off into the sea? Ain't tryna go to school.
134	134	everything i eat makes me feel sick	0	0	everything i eat makes me feel sick	Everything I eat be makin' me feel sick, yo.
135	135	bitches salty init ?	1	1	bitches salty init ?	Are people being bitter about it?
136	136	madusa madusa madusa	1	1	madusa madusa madusa	Madusa, Madusa, Madusa.
137	137	_twitter-entity_ you do a great job â¤	1	0	_twitter-entity_ you do a great job â¤	"ï¸

Ya'll do a real good job â¤ï¸"
138	138	would love to be laying in my bed bundled up in blankets listening to justin	0	0	would love to be laying in my bed bundled up in blankets listening to justin	"bieber

I'd be lyin' in my bed all snuggled up in blankets, listenin' to Justin Bieber."
139	139	i'm tired af man .	0	1	i'm tired af man .	I am extremely tired, man.
140	140	where everybody been	0	1	where everybody been	"at?

Where has everyone been?"
141	141	pooty keep askin for jordan	0	1	pooty keep askin for jordan	"for his brithday?

Pooty keeps asking for Jordans for his birthday?"
142	142	â _twitter-entity_ : love & amp ; hip hop : atlanta tonight & gt ; & gt ; & gt ; & gt ; â !!!!!!!	1	1	â _twitter-entity_ : love & amp ; hip hop : atlanta tonight & gt ; & gt ; & gt ; & gt ; â !!!!!!!	"""Check out Love & Hip Hop Atlanta tonight!!!!"""
143	143	"\ _twitter-entity_ : _twitter-entity_ welcome & amp ; girl i wish anderson was my last name llf but its not "" / "" lmao ohh """	1	1	"\ _twitter-entity_ : _twitter-entity_ welcome & amp ; girl i wish anderson was my last name llf but its not "" / "" lmao ohh """	"well

Twitter Entity: Hey, welcome! I wish Anderson was my last name too, but it's not. Haha, oh well!"
144	144	i need a girl	0	1	i need a girl	"to call my own

I need a woman to call my own."
145	145	boutta snap on my gf	0	1	boutta snap on my gf	I'm about to give my girlfriend a hard time.
146	146	fuck ass grabbing smack that shit !!	1	1	fuck ass grabbing smack that shit !!	Move away from that!
147	147	alcohol is becoming my bestfriend	0	1	alcohol is becoming my bestfriend	Alcohol is becoming my closest companion.
148	148	that bitch pussy was breathing	1	1	that bitch pussy was breathing	"fire

That person was really angry."
149	149	me and keat laying down for bed at 9:30 #nightowls	1	0	me and keat laying down for bed at 9:30 #nightowls	Me and Keat bout to hit the hay by 9:30 #NightOwls.
150	150	â _twitter-entity_ : bitches don't got shit on _twitter-entity_ when it comes to the kitchenâthey don't hear you doe	1	1	â _twitter-entity_ : bitches don't got shit on _twitter-entity_ when it comes to the kitchenâthey don't hear you doe	"""_twitter-entity_ : nobody can beat _twitter-entity_ in the kitchen - they won't even try to!"""
151	151	bouta to say somebody hacked my page i'm not bouta do that shit	1	1	bouta to say somebody hacked my page i'm not bouta do that shit	I'm not going to say that someone hacked my page.
152	152	montez gay as shit	1	1	montez gay as shit	", cuz

Monty's really happy, because."
153	153	i just want to take this exam and go homeeee	0	0	i just want to take this exam and go homeeee	I jus' wanna take dis exam an' git outta here!
154	154	i'm seriously about to cry	0	0	i'm seriously about to cry	I'm 'bout to shed tears for real.
155	155	so cold . i cannot get warm for anything !	0	0	so cold . i cannot get warm for anything !	So chilly! Ain't nothin' gonna get me warm!
156	156	here comes the hating lol	1	1	here comes the hating lol	Here comes the criticism lol
157	157	when people smack while eating &lt; & lt ; & lt ; stop it	0	0	when people smack while eating &lt; & lt ; & lt ; stop it	When people smack while eatin', gotta make 'em stop it.
158	158	_twitter-entity_ neither do you , & amp ; besides my phone is off !	0	1	_twitter-entity_ neither do you , & amp ; besides my phone is off !	Neither do you, and besides, my phone is off!
159	159	worst night in a while	0	0	worst night in a while	Worse night in a minute!
160	160	, i'm ready do hair nshit	1	1	, i'm ready do hair nshit	I'm ready to do hair and stuff.
161	161	if mikayla don't stop making her pencil squeak while she's writing .	0	0	if mikayla don't stop making her pencil squeak while she's writing .	If Mikayla don't cease makin' her pencil squeak while she's writin'.
162	162	oomf and his horny ass	1	1	oomf and his horny ass	"still coming around here

Oomf and his overly eager self is still coming around here."
163	163	ya avi ass and titties got me sorry bro . that was funny	1	1	ya avi ass and titties got me sorry bro . that was funny	Oh my gosh, your antics and your jokes had me laughing, buddy. That was hilarious!
164	164	_twitter-entity_ i was just to beautiful	1	0	_twitter-entity_ i was just to beautiful	"today

I was looking real fine today!"
165	165	i wanna go get sonic	0	0	i wanna go get sonic	I wanna go get Sonic.
166	166	i had to take romeos sippy away from him and now he's screaming , he hates me	0	0	i had to take romeos sippy away from him and now he's screaming , he hates me	I had to take Romeo's sippy away from him and now he's hollerin', he don't like me no more.
167	167	i have done nothing all day , but i'm so tired	0	0	i have done nothing all day , but i'm so tired	I ain't done nothin' all day, but I'm so wore out.
168	168	why am i always on e	0	0	why am i always on e	"veyone's bad side

Why I always end up on everybody's bad side?"
169	169	mary jane , baby girl , you will never fuck me over . i love you .	1	0	mary jane , baby girl , you will never fuck me over . i love you .	Mary Jane, baby girl, you ain't neva gonna mess me ova. I luh you.
170	170	_twitter-entity_ lol good , you better !	1	1	_twitter-entity_ lol good , you better !	Lol, good, you'd better!
171	171	"i remember sherri called me a \header hoe "" """	1	1	"i remember sherri called me a \header hoe "" """	I remember Sherri called me a derogatory name.
172	172	mama dee w/ dis stale ass weave	0	1	mama dee w/ dis stale ass weave	Mom with this old-fashioned weave.
173	173	_twitter-entity_ i miss you too text me	0	1	_twitter-entity_ i miss you too text me	I miss you too, send me a text.
174	174	_twitter-entity_ this basketball stuff for this school man .. these niggas be pissing me off	0	1	_twitter-entity_ this basketball stuff for this school man .. these niggas be pissing me off	This basketball stuff for this school is really frustrating me.. these guys are really getting on my nerves.
175	175	_twitter-entity_ ha cute ahh , she single or nah ?	1	1	_twitter-entity_ ha cute ahh , she single or nah ?	Does _twitter-entity_ look attractive? Is she single or not?
176	176	_twitter-entity_ hang out with me please !! it's been to long	0	0	_twitter-entity_ hang out with me please !! it's been to long	Hang out wit me, please! It's been way too long.
177	177	i wish the bathroom wasn't so far away	0	0	i wish the bathroom wasn't so far away	I wish the restroom wasn't so far away.
178	178	haven't been on here in a min	0	1	haven't been on here in a min	I haven't been on here in a while.
179	179	i'm so beyond tired . and of course work called me in early	0	0	i'm so beyond tired . and of course work called me in early	I'm 'bout done gone tired. And of course, work had to come calling me early.
180	180	arsenal have had two quality shots agonizingly denied by the post	0	0	arsenal have had two quality shots agonizingly denied by the post	Arsenal had two quality shots, agonizingly denied by dat post.
181	181	"\ you know him , he's the one who poked you on fb ! "" lmao what a way to remember someone . _twitter-entity_ """	1	0	"\ you know him , he's the one who poked you on fb ! "" lmao what a way to remember someone . _twitter-entity_ """	"""Yuh kno, dat's da one who stuck yo' page on FB! LMAO ain't dat one way ta remembah somebody?  #TwitterEntity"""
182	182	brooks has long pretty hair . #jealous	0	0	brooks has long pretty hair . #jealous	Brooks gots some long, pretty hair gonna make ya jealous.
183	183	â _twitter-entity_ : and i'm gone steal it again tomorrow âima beat yo ass	1	1	â _twitter-entity_ : and i'm gone steal it again tomorrow âima beat yo ass	I'm gonna take it again tomorrow, I'm gonna beat you up.
